y_true	y_pred	pctid	label1	label2	tm1_true	tm2_true	tm1_pred	tm2_pred
40.5	2.665501	0.0515	WP_132183354.1	erickson_306	52.07	92.57	58.58965683	61.25515747
35.67	3.984238	0.0694	WP_132183354.1	WP_116180173.1	52.07	87.74	58.58965683	62.5738945
34.84	-5.088963	0.0524	WP_132183354.1	erickson_501	52.07	86.91	58.58965683	53.50069427
30.9	-2.744404	0.0632	WP_132183354.1	CUM11140.1	52.07	82.97	58.58965683	55.84525299
30.9	0.040077	0.0546	WP_132183354.1	AEV21261.1	52.07	82.97	58.58965683	58.62973404
24.14	-10.41449	0.0558	WP_132183354.1	erickson_611	52.07	76.21	58.58965683	48.17516708
23.06	12.153934	0.067	WP_132183354.1	erickson_202	52.07	75.13	58.58965683	70.74359131
19.98	-1.694942	0.0801	WP_132183354.1	WP_084578793.1	52.07	72.05	58.58965683	56.89471436
19.87	-14.091286	0.063	WP_132183354.1	erickson_BTA-1	52.07	71.94	58.58965683	44.49837112
19.76	-14.091286	0.063	WP_132183354.1	erickson_715	52.07	71.83	58.58965683	44.49837112
18.79	-14.103184	0.063	WP_132183354.1	erickson_703	52.07	70.86	58.58965683	44.48647308
18.21	-14.090473	0.063	WP_132183354.1	erickson_701	52.07	70.28	58.58965683	44.49918365
17.89	-14.079624	0.0627	WP_132183354.1	erickson_714	52.07	69.96	58.58965683	44.51003265
17.86	-13.978874	0.0593	WP_132183354.1	erickson_704	52.07	69.93	58.58965683	44.61078262
17.84	6.5368	0.0574	WP_132183354.1	WP_132399348.1	52.07	69.91	58.58965683	65.12645721
17.16	-5.615643	0.0868	WP_132183354.1	WP_081971423.1	52.07	69.23	58.58965683	52.97401428
17.03	-5.840405	0.0733	WP_132183354.1	WP_068752972.1	52.07	69.1	58.58965683	52.74925232
16.95	-13.910542	0.063	WP_132183354.1	erickson_705	52.07	69.02	58.58965683	44.6791153
16.94	-6.470119	0.5383	WP_132183354.1	WP_132413760.1	52.07	69.01	58.58965683	52.11953735
16.28	-13.943714	0.063	WP_132183354.1	erickson_706	52.07	68.35	58.58965683	44.64594269
16.23	0.006168	0.0717	WP_132183354.1	WP_091558835.1	52.07	68.3	58.58965683	58.5958252
16.23	3.618782	0.0884	WP_132183354.1	SDZ16714.1	52.07	68.3	58.58965683	62.20843887
16.13	-2.965107	0.0823	WP_132183354.1	erickson_407	52.07	68.2	58.58965683	55.62454987
15.64	-13.934494	0.0586	WP_132183354.1	erickson_716	52.07	67.71	58.58965683	44.65516281
15.18	-13.733761	0.0755	WP_132183354.1	erickson_504	52.07	67.25	58.58965683	44.855896
15.16	-12.844982	0.0649	WP_132183354.1	ADV92527.1	52.07	67.23	58.58965683	45.74467468
15.11	-13.656479	0.0704	WP_132183354.1	erickson_601	52.07	67.18	58.58965683	44.93317795
14.34	-3.059856	0.3921	WP_132183354.1	WP_089021493.1	52.07	66.41	58.58965683	55.52980042
14.1	-0.109787	0.0794	WP_132183354.1	WP_051808300.1	52.07	66.17	58.58965683	58.47986984
13.89	-0.468002	0.0984	WP_132183354.1	erickson_102	52.07	65.96	58.58965683	58.12165451
13.8	-3.764698	0.4031	WP_132183354.1	WP_139584963.1	52.07	65.87	58.58965683	54.8249588
13.57	-8.911293	0.0498	WP_132183354.1	WP_104613137.1	52.07	65.64	58.58965683	49.6783638
13.5	-14.044193	0.0738	WP_132183354.1	erickson_702	52.07	65.57	58.58965683	44.54546356
13.44	-2.358772	0.0853	WP_132183354.1	WP_117215036.1	52.07	65.51	58.58965683	56.23088455
13.08	-2.915997	0.3987	WP_132183354.1	WP_091553551.1	52.07	65.15	58.58965683	55.67366028
11.98	-5.79348	0.0878	WP_132183354.1	CBY05529.1	52.07	64.05	58.58965683	52.79617691
11.76	10.152645	0.0775	WP_132183354.1	WP_091310325.1	52.07	63.83	58.58965683	68.74230194
11.17	-3.777061	0.3987	WP_132183354.1	WP_124822775.1	52.07	63.24	58.58965683	54.81259537
