y_true	y_pred	pctid	label1	label2	tm1_true	tm2_true	tm1_pred	tm2_pred
9.17	12.621937	0.0918	erickson_102	erickson_202	65.96	75.13	58.12165451	70.74359131
26.61	3.133503	0.0515	erickson_102	erickson_306	65.96	92.57	58.12165451	61.25515747
2.24	-2.497105	0.0984	erickson_102	erickson_407	65.96	68.2	58.12165451	55.62454987
20.95	-4.62096	0.0637	erickson_102	erickson_501	65.96	86.91	58.12165451	53.50069427
1.29	-13.265759	0.0683	erickson_102	erickson_504	65.96	67.25	58.12165451	44.855896
1.22	-13.188477	0.0815	erickson_102	erickson_601	65.96	67.18	58.12165451	44.93317795
-12.06	-10.15192	0.0849	erickson_102	erickson_606	65.96	53.9	58.12165451	47.96973419
10.25	-9.946487	0.0706	erickson_102	erickson_611	65.96	76.21	58.12165451	48.17516708
4.32	-13.622471	0.063	erickson_102	erickson_701	65.96	70.28	58.12165451	44.49918365
-0.39	-13.576191	0.0775	erickson_102	erickson_702	65.96	65.57	58.12165451	44.54546356
4.9	-13.635181	0.0667	erickson_102	erickson_703	65.96	70.86	58.12165451	44.48647308
3.97	-13.510872	0.0593	erickson_102	erickson_704	65.96	69.93	58.12165451	44.61078262
3.06	-13.442539	0.063	erickson_102	erickson_705	65.96	69.02	58.12165451	44.6791153
2.39	-13.475712	0.0593	erickson_102	erickson_706	65.96	68.35	58.12165451	44.64594269
-9.91	-13.303928	0.0556	erickson_102	erickson_709	65.96	56.05	58.12165451	44.81772614
-11.8	-13.268291	0.0818	erickson_102	erickson_711	65.96	54.16	58.12165451	44.85336304
4.0	-13.611622	0.0701	erickson_102	erickson_714	65.96	69.96	58.12165451	44.51003265
5.87	-13.623283	0.0704	erickson_102	erickson_715	65.96	71.83	58.12165451	44.49837112
1.75	-13.466492	0.0623	erickson_102	erickson_716	65.96	67.71	58.12165451	44.65516281
5.98	-13.623283	0.0704	erickson_102	erickson_BTA-1	65.96	71.94	58.12165451	44.49837112
-32.18	-2.496521	0.0912	erickson_102	WP_019629726.1	65.96	33.78	58.12165451	55.62513351
-31.45	0.962109	0.0707	erickson_102	WP_090758760.1	65.96	34.51	58.12165451	59.08376312
-31.45	1.751011	0.0736	erickson_102	SDJ28682.1	65.96	34.51	58.12165451	59.87266541
-31.1	4.275478	0.066	erickson_102	WP_150226575.1	65.96	34.86	58.12165451	62.39713287
-30.64	-6.834702	0.0811	erickson_102	SBO93698.1	65.96	35.32	58.12165451	51.28695297
-30.16	3.782757	0.0646	erickson_102	WP_094114762.1	65.96	35.8	58.12165451	61.90441132
-29.9	-3.959969	0.0656	erickson_102	WP_037799604.1	65.96	36.06	58.12165451	54.16168594
-28.14	-4.134205	0.0576	erickson_102	WP_136529585.1	65.96	37.82	58.12165451	53.98744965
-27.5	-9.490017	0.0885	erickson_102	PCI81402.1	65.96	38.46	58.12165451	48.63163757
-27.43	3.376843	0.0951	erickson_102	WP_110080872.1	65.96	38.53	58.12165451	61.49849701
-27.43	2.846809	0.0819	erickson_102	PWW60275.1	65.96	38.53	58.12165451	60.9684639
-26.73	0.540264	0.0689	erickson_102	WP_053744292.1	65.96	39.23	58.12165451	58.66191864
-26.73	-1.379536	0.0689	erickson_102	KOV66859.1	65.96	39.23	58.12165451	56.74211884
-26.71	-1.618092	0.0691	erickson_102	KHD76999.1	65.96	39.25	58.12165451	56.50356293
-26.71	-1.278023	0.0667	erickson_102	WP_052163682.1	65.96	39.25	58.12165451	56.84363174
-26.64	-7.276028	0.087	erickson_102	WP_023590072.1	65.96	39.32	58.12165451	50.84562683
-26.32	4.441978	0.1016	erickson_102	WP_104343804.1	65.96	39.64	58.12165451	62.56363297
-26.08	-0.484562	0.0796	erickson_102	WP_091449211.1	65.96	39.88	58.12165451	57.63709259
-26.03	-7.596298	0.0459	erickson_102	MBT71308.1	65.96	39.93	58.12165451	50.52535629
-25.76	5.258015	0.0691	erickson_102	WP_015787089.1	65.96	40.2	58.12165451	63.37966919
-25.63	-0.458382	0.0364	erickson_102	WP_086515000.1	65.96	40.33	58.12165451	57.66327286
-25.17	-2.627747	0.0721	erickson_102	OPG10926.1	65.96	40.79	58.12165451	55.49390793
-25.17	-4.084072	0.0742	erickson_102	WP_143737449.1	65.96	40.79	58.12165451	54.0375824
-25.09	3.693577	0.0767	erickson_102	WP_120326365.1	65.96	40.87	58.12165451	61.81523132
-24.9	-3.351101	0.0563	erickson_102	WP_110080441.1	65.96	41.06	58.12165451	54.77055359
-24.43	-6.428898	0.07	erickson_102	AJP05992.1	65.96	41.53	58.12165451	51.69275665
-24.39	9.567036	0.0828	erickson_102	MBQ14354.1	65.96	41.57	58.12165451	67.68869019
-24.39	-6.228077	0.0852	erickson_102	GDY50131.1	65.96	41.57	58.12165451	51.89357758
-24.39	-4.771503	0.0852	erickson_102	WP_137976057.1	65.96	41.57	58.12165451	53.35015106
-24.03	-1.680737	0.0667	erickson_102	WP_145865593.1	65.96	41.93	58.12165451	56.44091797
-22.83	-3.861942	0.0702	erickson_102	WP_092528534.1	65.96	43.13	58.12165451	54.25971222
-22.71	-6.098133	0.0928	erickson_102	WP_085753242.1	65.96	43.25	58.12165451	52.02352142
-22.69	0.024345	0.0743	erickson_102	WP_104115406.1	65.96	43.27	58.12165451	58.14599991
-22.6	-6.06345	0.0865	erickson_102	WP_123685830.1	65.96	43.36	58.12165451	52.05820465
-22.53	9.805866	0.0852	erickson_102	WP_051167764.1	65.96	43.43	58.12165451	67.92752075
-22.53	10.587254	0.0984	erickson_102	AGL16332.1	65.96	43.43	58.12165451	68.70890808
-22.52	0.520912	0.0533	erickson_102	WP_119435032.1	65.96	43.44	58.12165451	58.64256668
-22.48	-2.874859	0.0709	erickson_102	WP_132675922.1	65.96	43.48	58.12165451	55.24679565
-22.33	0.569256	0.0885	erickson_102	REH26413.1	65.96	43.63	58.12165451	58.69091034
-22.26	-1.133614	0.0631	erickson_102	WP_043674879.1	65.96	43.7	58.12165451	56.98804092
-22.18	-0.400005	0.0636	erickson_102	WP_143713288.1	65.96	43.78	58.12165451	57.72164917
-22.1	1.239441	0.0859	erickson_102	WP_104293293.1	65.96	43.86	58.12165451	59.36109543
-22.09	0.384525	0.0689	erickson_102	WP_078759821.1	65.96	43.87	58.12165451	58.50617981
-21.97	-0.595509	0.0689	erickson_102	WP_067035690.1	65.96	43.99	58.12165451	57.52614594
-21.89	5.010708	0.0548	erickson_102	KOX11336.1	65.96	44.07	58.12165451	63.13236237
-21.89	2.053127	0.0721	erickson_102	WP_053619136.1	65.96	44.07	58.12165451	60.1747818
-21.89	-0.094566	0.058	erickson_102	WP_156365999.1	65.96	44.07	58.12165451	58.02708817
-21.81	-9.476921	0.059	erickson_102	OGB27210.1	65.96	44.15	58.12165451	48.64473343
-21.72	4.135193	0.0719	erickson_102	OUE26840.1	65.96	44.24	58.12165451	62.25684738
-21.6	-4.905308	0.059	erickson_102	WP_108710096.1	65.96	44.36	58.12165451	53.21634674
-21.38	5.590282	0.0853	erickson_102	ALD14029.1	65.96	44.58	58.12165451	63.71193695
-21.35	15.472713	0.0909	erickson_102	WP_084693247.1	65.96	44.61	58.12165451	73.59436798
-20.99	-2.105526	0.0558	erickson_102	RLT92980.1	65.96	44.97	58.12165451	56.01612854
-20.55	0.687656	0.0945	erickson_102	AWF98035.1	65.96	45.41	58.12165451	58.80931091
-19.93	-5.139164	0.0853	erickson_102	RZI82703.1	65.96	46.03	58.12165451	52.98249054
-19.19	-4.127254	0.0721	erickson_102	WP_141208867.1	65.96	46.77	58.12165451	53.99440002
-19.18	-3.561825	0.0492	erickson_102	WP_133877137.1	65.96	46.78	58.12165451	54.55982971
-19.18	-1.962639	0.0852	erickson_102	TDO41999.1	65.96	46.78	58.12165451	56.15901566
-19.16	-3.635529	0.061	erickson_102	WP_132628273.1	65.96	46.8	58.12165451	54.48612595
-19.07	-4.195351	0.0559	erickson_102	WP_090538641.1	65.96	46.89	58.12165451	53.92630386
-18.98	-13.640423	0.0297	erickson_102	MBA55398.1	65.96	46.98	58.12165451	44.48123169
-18.25	-10.514469	0.0548	erickson_102	WP_085749752.1	65.96	47.71	58.12165451	47.60718536
-17.86	-7.253719	0.0525	erickson_102	WP_129849678.1	65.96	48.1	58.12165451	50.86793518
-17.59	-3.463871	0.0859	erickson_102	SNR28278.1	65.96	48.37	58.12165451	54.65778351
-17.45	-4.839115	0.0557	erickson_102	WP_045318561.1	65.96	48.51	58.12165451	53.28253937
-17.44	6.688557	0.0872	erickson_102	WP_103564314.1	65.96	48.52	58.12165451	64.81021118
-17.38	-7.246784	0.05	erickson_102	BAK48590.1	65.96	48.58	58.12165451	50.8748703
-17.35	2.074856	0.0753	erickson_102	WP_122982115.1	65.96	48.61	58.12165451	60.19651031
-17.22	4.255802	0.0868	erickson_102	RZS34008.1	65.96	48.74	58.12165451	62.37745667
-17.21	-1.562664	0.059	erickson_102	WP_086562416.1	65.96	48.75	58.12165451	56.55899048
-17.2	1.688663	0.0552	erickson_102	WP_075846387.1	65.96	48.76	58.12165451	59.81031799
-17.08	-4.101006	0.0627	erickson_102	WP_107465080.1	65.96	48.88	58.12165451	54.02064896
-17.08	-1.576092	0.0871	erickson_102	SPF04022.1	65.96	48.88	58.12165451	56.54556274
-16.98	3.066738	0.0906	erickson_102	WP_065917710.1	65.96	48.98	58.12165451	61.18839264
-16.81	-0.177528	0.0792	erickson_102	KNX38636.1	65.96	49.15	58.12165451	57.94412613
-16.81	-2.07502	0.089	erickson_102	WP_050671122.1	65.96	49.15	58.12165451	56.04663467
