y_true	y_pred	pctid	label1	label2	tm1_true	tm2_true	tm1_pred	tm2_pred
9.17	33.512305	0.0918	erickson_102	erickson_202	65.96	75.13	44.15525385	77.66755858
26.61	29.254246	0.0515	erickson_102	erickson_306	65.96	92.57	44.15525385	73.40950018
2.24	4.325705	0.0984	erickson_102	erickson_407	65.96	68.2	44.15525385	48.48095907
20.95	14.997111	0.0637	erickson_102	erickson_501	65.96	86.91	44.15525385	59.1523646
1.29	1.553074	0.0683	erickson_102	erickson_504	65.96	67.25	44.15525385	45.70832808
1.22	2.2306	0.0815	erickson_102	erickson_601	65.96	67.18	44.15525385	46.38585407
-12.06	-0.639025	0.0849	erickson_102	erickson_606	65.96	53.9	44.15525385	43.51622892
10.25	4.394368	0.0706	erickson_102	erickson_611	65.96	76.21	44.15525385	48.54962185
4.32	2.55443	0.063	erickson_102	erickson_701	65.96	70.28	44.15525385	46.7096839
-0.39	3.175919	0.0775	erickson_102	erickson_702	65.96	65.57	44.15525385	47.33117288
4.9	1.907969	0.0667	erickson_102	erickson_703	65.96	70.86	44.15525385	46.06322283
3.97	3.026182	0.0593	erickson_102	erickson_704	65.96	69.93	44.15525385	47.18143612
3.06	1.76854	0.063	erickson_102	erickson_705	65.96	69.02	44.15525385	45.92379348
2.39	2.297113	0.0593	erickson_102	erickson_706	65.96	68.35	44.15525385	46.45236714
-9.91	0.542807	0.0556	erickson_102	erickson_709	65.96	56.05	44.15525385	44.69806107
-11.8	2.066382	0.0818	erickson_102	erickson_711	65.96	54.16	44.15525385	46.22163625
4.0	2.774825	0.0701	erickson_102	erickson_714	65.96	69.96	44.15525385	46.93007845
5.87	3.627952	0.0704	erickson_102	erickson_715	65.96	71.83	44.15525385	47.7832055
1.75	2.348906	0.0623	erickson_102	erickson_716	65.96	67.71	44.15525385	46.50415964
5.98	3.627952	0.0704	erickson_102	erickson_BTA-1	65.96	71.94	44.15525385	47.7832055
-32.18	3.197987	0.0912	erickson_102	WP_019629726.1	65.96	33.78	44.15525385	47.35324077
-31.45	1.684945	0.0707	erickson_102	WP_090758760.1	65.96	34.51	44.15525385	45.84019854
-31.45	0.919386	0.0736	erickson_102	SDJ28682.1	65.96	34.51	44.15525385	45.07463949
-31.1	3.344157	0.066	erickson_102	WP_150226575.1	65.96	34.86	44.15525385	47.49941066
