y_true	y_pred	pctid	label1	label2	tm1_true	tm2_true	tm1_pred	tm2_pred
17.89	-14.079624	0.0627	WP_132183354.1	erickson_714	52.07	69.96	58.58965683	44.51003265
-8.21	0.771439	0.0687	WP_132183354.1	WP_104293293.1	52.07	43.86	58.58965683	59.36109543
-5.29	-4.029827	0.0509	WP_132183354.1	WP_133877137.1	52.07	46.78	58.58965683	54.55982971
16.23	3.618782	0.0884	WP_132183354.1	SDZ16714.1	52.07	68.3	58.58965683	62.20843887
-16.75	-7.302704	0.0676	WP_132183354.1	SBO93698.1	52.07	35.32	58.58965683	51.28695297
9.11	-3.267616	0.3877	WP_132183354.1	WP_082377728.1	52.07	61.18	58.58965683	55.32204056
-8.37	-1.601616	0.0664	WP_132183354.1	WP_043674879.1	52.07	43.7	58.58965683	56.98804092
-7.1	-2.573528	0.0781	WP_132183354.1	RLT92980.1	52.07	44.97	58.58965683	56.01612854
-18.29	-2.964523	0.0772	WP_132183354.1	WP_019629726.1	52.07	33.78	58.58965683	55.62513351
6.1	2.838627	0.0699	WP_132183354.1	WP_073887759.1	52.07	58.17	58.58965683	61.42828369
-12.84	0.072262	0.0686	WP_132183354.1	WP_053744292.1	52.07	39.23	58.58965683	58.66191864
13.57	-8.911293	0.0498	WP_132183354.1	WP_104613137.1	52.07	65.64	58.58965683	49.6783638
-8.08	-1.063511	0.078	WP_132183354.1	WP_067035690.1	52.07	43.99	58.58965683	57.52614594
7.1	3.746437	0.0569	WP_132183354.1	WP_035286617.1	52.07	59.17	58.58965683	62.3360939
-7.83	3.667191	0.1043	WP_132183354.1	OUE26840.1	52.07	44.24	58.58965683	62.25684738
16.28	-13.943714	0.063	WP_132183354.1	erickson_706	52.07	68.35	58.58965683	44.64594269
-8.0	-0.562569	0.0471	WP_132183354.1	WP_156365999.1	52.07	44.07	58.58965683	58.02708817
13.8	-3.764698	0.4031	WP_132183354.1	WP_139584963.1	52.07	65.87	58.58965683	54.8249588
-7.71	-5.37331	0.0844	WP_132183354.1	WP_108710096.1	52.07	44.36	58.58965683	53.21634674
8.81	5.351093	0.5548	WP_132183354.1	WP_132386942.1	52.07	60.88	58.58965683	63.94075012
